Sample in Buffer,Sample in Window,TRIGGER,addr_wire[11:0],douta_wire[23:0],filtered_ecg_wire[39:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX
1727,1727,0,3e0,f77778,ffec3fa100
1728,1728,0,3e1,f4e81b,ffebdc0a00
1729,1729,0,3e2,f0a3d7,ffec2ded00
1730,1730,0,3e3,07ae14,ffed635800
1731,1731,0,3e4,1c28f6,ffefa4ca00
1732,1732,0,3e5,2eeeef,fff324b900
1733,1733,0,3e6,428f5c,fff8160500
1734,1734,0,3e7,5a740d,fffeb43c00
1735,1735,0,3e8,6fc962,000747db00
1736,1736,0,3e9,7c962f,00120c4400
1737,1737,0,3ea,74e81a,001f05a900
1738,1738,0,3eb,717e4a,002de6f400
1739,1739,0,3ec,6d3a06,003dfa1d00
1740,1740,0,3ed,622221,004e233e00
1741,1741,0,3ee,50369c,005bbf8900
1742,1742,0,3ef,4b17e4,004f160b00
1743,1743,0,3f0,3d70a3,0043ee0400
1744,1744,0,3f1,28f5c2,003f7b8f00
1745,1745,0,3f2,0e81b5,0041408800
1746,1746,0,3f3,f851ec,0046a1a900
1747,1747,0,3f4,df92c6,004bd55d00
1748,1748,0,3f5,d2c5fa,004d0e7f00
1749,1749,0,3f6,d11111,0047808f00
1750,1750,0,3f7,d70a3e,003a16fd00
1751,1751,0,3f8,e147ae,0025ab2f00
1752,1752,0,3f9,efc963,000cc70500
1753,1753,0,3fa,f5c28f,fff2ffed00
1754,1754,0,3fb,f5c28f,ffdc234f00
1755,1755,0,3fc,fe4b18,ffcb6a8600
1756,1756,0,3fd,fbbbbc,ffc2d70200
1757,1757,0,3fe,f0a3d7,ffc2e09600
1758,1758,0,3ff,ee147b,ffca760100
1759,1759,0,400,eb851f,ffd74cea00
1760,1760,0,401,eb851f,ffe6695500
1761,1761,0,402,f0a3d7,fff4b52800
1762,1762,0,403,fae148,ffff9e9700
1763,1763,0,404,fc9630,0005894000
1764,1764,0,405,00da74,000611d400
1765,1765,0,406,f77778,0001fb7200
1766,1766,0,407,efc963,fffaf3ca00
1767,1767,0,408,efc963,fff31be200
1768,1768,0,409,e81b4f,ffec837c00
1769,1769,0,40a,ec5f93,ffe8b9ff00
1770,1770,0,40b,eeeeef,ffe874ab00
1771,1771,0,40c,f258bf,ffeb7f8200
1772,1772,0,40d,ff258c,fff0dbbe00
1773,1773,0,40e,028f5c,fff70d3800
1774,1774,0,40f,0369d0,fffc893a00
1775,1775,0,410,fae148,0000105700
1776,1776,0,411,f92c60,0001052d00
1777,1777,0,412,f4e81b,ffff7fb700
1778,1778,0,413,e9d037,fffc363900
1779,1779,0,414,e9d037,fff83d2100
1780,1780,0,415,f0a3d7,fff4b44900
1781,1781,0,416,f258bf,fff277dd00
1782,1782,0,417,ff258c,fff1f12800
1783,1783,0,418,06d3a0,fff3062d00
1784,1784,0,419,044444,fff5397a00
1785,1785,0,41a,028f5c,fff7d97300
1786,1786,0,41b,fbbbbc,fffa388900
1787,1787,0,41c,f17e4b,fffbdc4900
1788,1788,0,41d,f258bf,fffc966100
1789,1789,0,41e,f258bf,fffc807800
1790,1790,0,41f,f5c28f,fffbebcd00
1791,1791,0,420,fa06d4,fffb379f00
1792,1792,0,421,0369d0,fffab81600
1793,1793,0,422,088888,fffa9be400
1794,1794,0,423,06d3a0,fffae6ef00
1795,1795,0,424,0369d0,fffb7aae00
1796,1796,0,425,fe4b18,fffc2aaf00
1797,1797,0,426,f4e81b,fffcce1600
1798,1798,0,427,f5c28f,fffd516600
1799,1799,0,428,f5c28f,fffdb41600
1800,1800,0,429,f17e4b,fffe00da00
1801,1801,0,42a,f851ec,fffe3fe700
1802,1802,0,42b,044444,fffe6eee00
1803,1803,0,42c,0a3d71,fffe826100
1804,1804,0,42d,06d3a0,fffe665600
1805,1805,0,42e,000000,fffe0b0500
1806,1806,0,42f,ff258c,fffd765e00
1807,1807,0,430,fbbbbc,fffcc6f400
1808,1808,0,431,f77778,fffc303d00
1809,1809,0,432,f92c60,fffbecd600
1810,1810,0,433,fbbbbc,fffc2ca600
1811,1811,0,434,088888,fffd0b4e00
1812,1812,0,435,0ccccd,fffe7b1300
1813,1813,0,436,0f5c29,00004ce000
1814,1814,0,437,10369d,0002364200
1815,1815,0,438,0b17e5,0003e96400
1816,1816,0,439,05f92c,00052a4e00
1817,1817,0,43a,01b4e8,0005de1200
1818,1818,0,43b,00da74,0006157100
1819,1819,0,43c,01b4e8,0006046100
1820,1820,0,43d,01b4e8,0005ed7300
1821,1821,0,43e,0962fd,00060cf000
1822,1822,0,43f,0e81b5,00067ff600
1823,1823,0,440,147ae1,0007415f00
1824,1824,0,441,199999,00082dbd00
1825,1825,0,442,162fc9,0009171100
1826,1826,0,443,0962fd,0009d3ea00
1827,1827,0,444,01b4e8,000a4dec00
1828,1828,0,445,05f92c,000a8b1900
1829,1829,0,446,06d3a0,000aa67400
1830,1830,0,447,0b17e5,000ac73200
1831,1831,0,448,170a3d,000b148800
1832,1832,0,449,1eb852,000badb200
