Sample in Buffer,Sample in Window,TRIGGER,addr_wire[11:0],douta_wire[23:0],filtered_ecg_wire[39:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX
2941,2941,0,586,f4e81b,fffc69a500
2942,2942,0,587,028f5c,ffffb20a00
2943,2943,0,588,fe4b18,0000a8eb00
2944,2944,0,589,044444,ffff4b0100
2945,2945,0,58a,06d3a0,fffc3f1c00
2946,2946,0,58b,fe4b18,fff89d1800
2947,2947,0,58c,ec5f93,fff580e000
2948,2948,0,58d,f0a3d7,fff3c2dc00
2949,2949,0,58e,f77778,fff3bede00
2950,2950,0,58f,f92c60,fff5508e00
2951,2951,0,590,fd70a4,fff7eba700
2952,2952,0,591,00da74,fffad70c00
2953,2953,0,592,028f5c,fffd690600
2954,2954,0,593,01b4e8,ffff2b6e00
2955,2955,0,594,051eb8,fffff3f200
2956,2956,0,595,fa06d4,ffffd5b400
2957,2957,0,596,f69d03,ffff164300
2958,2958,0,597,efc963,fffe020d00
2959,2959,0,598,f0a3d7,fffce04100
2960,2960,0,599,f4e81b,fffbda4700
2961,2961,0,59a,0369d0,fffb0af500
2962,2962,0,59b,05f92c,fffa7ed600
2963,2963,0,59c,00da74,fffa411800
2964,2964,0,59d,0369d0,fffa5ce800
2965,2965,0,59e,0a3d71,fffae0a200
2966,2966,0,59f,fae148,fffbc73e00
2967,2967,0,5a0,fae148,fffcfbcf00
2968,2968,0,5a1,f851ec,fffe4ba200
2969,2969,0,5a2,fae148,ffff829600
2970,2970,0,5a3,fe4b18,000069bc00
2971,2971,0,5a4,05f92c,0000e31900
2972,2972,0,5a5,f69d03,0000def300
2973,2973,0,5a6,00da74,0000736e00
2974,2974,0,5a7,0962fd,ffffc5dd00
2975,2975,0,5a8,0369d0,ffff0dbb00
2976,2976,0,5a9,ff258c,fffe7b6700
2977,2977,0,5aa,f851ec,fffe2c9d00
2978,2978,0,5ab,f851ec,fffe2e0200
2979,2979,0,5ac,00da74,fffe768700
2980,2980,0,5ad,fc9630,fffee74100
2981,2981,0,5ae,0a3d71,ffff691b00
2982,2982,0,5af,0da741,ffffeabb00
2983,2983,0,5b0,13a06d,00007c9000
2984,2984,0,5b1,11eb85,0001393000
2985,2985,0,5b2,10369d,0002460500
2986,2986,0,5b3,06d3a0,0003b4ed00
2987,2987,0,5b4,028f5c,00057c4e00
2988,2988,0,5b5,000000,00076b0b00
2989,2989,0,5b6,00da74,0009370200
2990,2990,0,5b7,ff258c,000a891d00
2991,2991,0,5b8,0ccccd,000b248700
2992,2992,0,5b9,0f5c29,000af16b00
2993,2993,0,5ba,11eb85,000a12a700
2994,2994,0,5bb,155555,0008d63600
2995,2995,0,5bc,155555,0007a97000
2996,2996,0,5bd,0da741,0006f49200
2997,2997,0,5be,0962fd,0006fe9a00
2998,2998,0,5bf,ff258c,0007d03a00
2999,2999,0,5c0,0da741,000945c700
3000,3000,0,5c1,155555,000b10b300
3001,3001,0,5c2,18bf25,000ce1b600
3002,3002,0,5c3,1d036a,000e78b700
3003,3003,0,5c4,1d036a,000fbae400
3004,3004,0,5c5,1d036a,0010b33500
3005,3005,0,5c6,206d3a,0011858500
3006,3006,0,5c7,1eb852,00125e2800
3007,3007,0,5c8,1eb852,001367d100
3008,3008,0,5c9,05f92c,0014a68d00
3009,3009,0,5ca,0e81b5,00160bce00
3010,3010,0,5cb,1eb852,00176b7600
3011,3011,0,5cc,281b4e,0018a06e00
3012,3012,0,5cd,2aaaaa,00198f3500
3013,3013,0,5ce,2c5f92,001a3c0800
3014,3014,0,5cf,23d70a,001ac4c800
3015,3015,0,5d0,266666,001b58eb00
3016,3016,0,5d1,22fc96,001c187e00
3017,3017,0,5d2,1c28f6,001d0dc200
3018,3018,0,5d3,1dddde,001e271b00
3019,3019,0,5d4,1b4e81,001f3d2500
3020,3020,0,5d5,1d036a,0020243f00
3021,3021,0,5d6,2740da,0020b86300
3022,3022,0,5d7,2740da,0020e65f00
3023,3023,0,5d8,2b851e,0020b81c00
